340^695	114.04012	30.58043	-9.44	70
340^707	114.04012	30.59123	-9.16	29
340^734	114.04012	30.61553	-11.75	22
340^749	114.04012	30.62903	-10.90	167
340^761	114.04012	30.63983	-11.18	131
340^776	114.04012	30.65333	-11.23	15
341^724	114.04116	30.60653	-12.70	10
341^739	114.04116	30.62003	-12.03	18
341^751	114.04116	30.63083	-11.57	75
341^766	114.04116	30.64433	-10.81	129
342^714	114.04220	30.59753	-8.82	149
342^729	114.04220	30.61103	-10.80	20
342^741	114.04220	30.62183	-11.38	12
342^756	114.04220	30.63533	-10.85	330
343^692	114.04324	30.57773	-9.33	115
343^704	114.04324	30.58853	-9.42	126
343^719	114.04324	30.60203	-10.20	27
343^731	114.04324	30.61283	-10.38	20
343^746	114.04324	30.62633	-10.55	144
343^773	114.04324	30.65063	-11.32	11
344^697	114.04428	30.58223	-7.94	401
344^709	114.04428	30.59303	-7.47	145
344^721	114.04428	30.60383	-10.70	5
344^736	114.04428	30.61733	-11.76	27
344^763	114.04428	30.64163	-12.50	6
344^778	114.04428	30.65513	-12.30	10
345^711	114.04532	30.59483	-8.15	69
345^726	114.04532	30.60833	-11.61	9
345^753	114.04532	30.63263	-10.00	123
345^768	114.04532	30.64613	-11.48	23
345^780	114.04532	30.65693	-14.25	12
346^701	114.04636	30.58583	-8.74	212
346^716	114.04636	30.59933	-11.50	1
346^743	114.04636	30.62363	-11.77	212
346^758	114.04636	30.63713	-10.18	45
346^770	114.04636	30.64793	-14.06	8
346^785	114.04636	30.66143	-9.86	11
347^694	114.04740	30.57953	-8.90	101
347^706	114.04740	30.59033	-9.72	100
347^733	114.04740	30.61463	-12.98	24
347^748	114.04740	30.62813	-10.59	28
347^760	114.04740	30.63893	-12.04	14
347^775	114.04740	30.65243	-10.50	12
348^699	114.04844	30.58403	-9.02	346
348^723	114.04844	30.60563	-9.78	9
348^738	114.04844	30.61913	-11.91	96
348^750	114.04844	30.62993	-11.73	11
348^765	114.04844	30.64343	-11.50	2
349^689	114.04948	30.57503	-8.89	270
349^713	114.04948	30.59663	-9.75	2
349^728	114.04948	30.61013	-11.58	59
349^740	114.04948	30.62093	-11.85	124
349^755	114.04948	30.63443	-11.61	9
349^782	114.04948	30.65873	-11.34	55
350^700	114.05052	30.58493	-9.33	79
350^715	114.05052	30.59843	-12.00	2
350^742	114.05052	30.62273	-10.86	497
350^757	114.05052	30.63623	-13.00	17
350^784	114.05052	30.66053	-11.20	23
351^693	114.05156	30.57863	-7.69	241
351^705	114.05156	30.58943	-9.31	27
351^732	114.05156	30.61373	-11.06	359
351^747	114.05156	30.62723	-10.42	559
351^774	114.05156	30.65153	-12.21	36
352^698	114.05260	30.58313	-8.96	569
352^722	114.05260	30.60473	-11.53	19
352^737	114.05260	30.61823	-11.02	415
352^764	114.05260	30.64253	-12.03	38
352^779	114.05260	30.65603	-11.99	127
353^712	114.05364	30.59573	-12.83	6
353^727	114.05364	30.60923	-11.14	137
353^754	114.05364	30.63353	-8.23	50
353^769	114.05364	30.64703	-12.01	40
353^781	114.05364	30.65783	-11.51	47
354^690	114.05468	30.57593	-11.38	4
354^702	114.05468	30.58673	-8.61	147
354^717	114.05468	30.60023	-11.50	54
354^744	114.05468	30.62453	-10.71	338
354^759	114.05468	30.63803	-11.66	44
354^771	114.05468	30.64883	-12.19	104
355^695	114.05572	30.58043	-8.11	223
355^707	114.05572	30.59123	-11.25	26
355^734	114.05572	30.61553	-10.39	1083
355^749	114.05572	30.62903	-9.07	7
355^761	114.05572	30.63983	-12.50	11
355^776	114.05572	30.65333	-12.13	39
356^724	114.05676	30.60653	-10.08	114
356^739	114.05676	30.62003	-9.31	2135
356^751	114.05676	30.63083	-11.75	8
356^766	114.05676	30.64433	-12.68	11
357^714	114.05780	30.59753	-10.95	11
357^729	114.05780	30.61103	-10.27	395
357^741	114.05780	30.62183	-9.84	328
357^756	114.05780	30.63533	-8.77	577
357^783	114.05780	30.65963	-9.96	36
358^692	114.05884	30.57773	-7.80	27
358^704	114.05884	30.58853	-8.33	176
358^719	114.05884	30.60203	-10.45	22
358^731	114.05884	30.61283	-9.97	153
358^746	114.05884	30.62633	-9.69	1021
358^773	114.05884	30.65063	-9.10	10
359^697	114.05988	30.58223	-7.60	345
359^709	114.05988	30.59303	-10.86	21
359^721	114.05988	30.60383	-11.57	145
359^736	114.05988	30.61733	-7.58	45
359^763	114.05988	30.64163	-11.69	151
359^778	114.05988	30.65513	-9.50	1
360^699	114.06092	30.58403	-9.72	118
360^723	114.06092	30.60563	-10.48	60
360^738	114.06092	30.61913	-11.30	5
360^750	114.06092	30.62993	-10.87	433
360^765	114.06092	30.64343	-12.50	21
361^689	114.06196	30.57503	-10.71	216
361^713	114.06196	30.59663	-11.17	32
361^728	114.06196	30.61013	-9.92	222
361^740	114.06196	30.62093	-10.42	12
361^755	114.06196	30.63443	-9.79	64
362^691	114.06300	30.57683	-7.49	49
362^703	114.06300	30.58763	-10.53	19
362^718	114.06300	30.60113	-8.27	106
362^730	114.06300	30.61193	-8.98	361
362^745	114.06300	30.62543	-10.78	167
362^772	114.06300	30.64973	-17.50	1
363^696	114.06404	30.58133	-10.90	5
363^708	114.06404	30.59213	-11.50	8
363^720	114.06404	30.60293	-9.01	164
363^735	114.06404	30.61643	-10.52	32
363^762	114.06404	30.64073	-7.47	47
363^777	114.06404	30.65423	-10.50	1
364^710	114.06508	30.59393	-9.42	12
364^725	114.06508	30.60743	-9.31	273
364^752	114.06508	30.63173	-10.03	1039
364^767	114.06508	30.64523	-12.16	19
