1,1,4;114.3222667;30.67129167;300
1,2,4;114.3222667;30.67129167;75
1,3,4;114.3222667;30.67129167;180
2,1,4;114.3238722;30.64160833;35
2,2,4;114.3238722;30.64160833;170
2,3,4;114.3238722;30.64160833;270
6,1,4;114.3177028;30.63446944;80
6,2,4;114.3177028;30.63446944;160
6,3,4;114.3177028;30.63446944;270
7,1,4;114.303275;30.63375278;30
7,2,4;114.303275;30.63375278;150
7,3,4;114.303275;30.63375278;280
11,1,4;114.3108333;30.62333333;5
11,2,4;114.3108333;30.62333333;165
11,3,4;114.3108333;30.62333333;280
12,1,4;114.2992833;30.62078056;350
12,2,4;114.2992833;30.62078056;180
12,3,4;114.2992833;30.62078056;220
13,1,4;114.2944;30.62951111;320
13,2,4;114.2944;30.62951111;120
13,3,4;114.2944;30.62951111;220
16,1,4;114.2756194;30.61469167;350
16,2,4;114.2756194;30.61469167;90
16,3,4;114.2756194;30.61469167;180
21,1,4;114.2852889;30.60702222;30
21,2,4;114.2852889;30.60702222;140
21,3,4;114.2852889;30.60702222;300
23,1,4;114.296525;30.60614444;30
23,2,4;114.296525;30.60614444;160
23,3,4;114.296525;30.60614444;270
26,1,4;114.3007194;30.60214167;60
26,2,4;114.3007194;30.60214167;170
26,3,4;114.3007194;30.60214167;220
29,1,4;114.2904278;30.59748333;300
29,2,4;114.2904278;30.59748333;160
29,3,4;114.2904278;30.59748333;190
34,1,4;114.2938417;30.592675;85
34,2,4;114.2938417;30.592675;150
34,3,4;114.2938417;30.592675;190
41,1,4;114.2876278;30.58546667;95
41,2,4;114.2876278;30.58546667;190
41,3,4;114.2876278;30.58546667;340
72,1,4;114.298042;30.664769;0
72,2,4;114.298042;30.664769;0
88,1,4;114.2937139;30.59631667;0
88,2,4;114.2937139;30.59631667;90
88,3,4;114.2937139;30.59631667;235
106,1,4;114.33277;30.64291;0
113,2,4;114.24444;30.54722;0
118,2,4;114.302236;30.653564;120
118,3,4;114.302236;30.653564;240
120,1,4;114.335325;30.66026667;30
120,2,4;114.335325;30.66026667;120
120,3,4;114.335325;30.66026667;270
122,1,4;114.3266333;30.65015;30
122,2,4;114.3266333;30.65015;150
122,3,4;114.3266333;30.65015;270
123,1,4;114.2826583;30.64105278;350
123,2,4;114.2826583;30.64105278;150
123,3,4;114.2826583;30.64105278;270
125,1,4;114.2933;30.60097222;355
